Name,X [ ],Y [ ],DeltaE [kcal/mol],Reaction,HOMO Energy [eV],Mulliken Charge [a.u],Molecular Weight in [a.u.],Molecular Shape [ ],Molecular Volume [A^3],L1,L2,bond type
Pd_0.0,-3.151852597586e+00,-1.589871364501e+01,-9.500000,Negishi,-7.6944,-0.154679,284.372,0.55556,65.81327,0,0,0
Pd_0.10,-8.010249791569e+00,-5.964010702751e+00,-25.860000,Suzuki,-5.72357,-0.281055,548.773,0.43333,1571.363,0,10,0
Pd_0.11,-7.604922949917e+00,-1.016202435003e+01,-22.800000,Kumada,-6.38641,-0.258260,562.030,0.40741,1026.502,0,11,0
Pd_0.12,-7.501698162906e+00,-1.088449476212e+01,-25.150000,Suzuki,-6.27535,-0.264723,512.665,0.40741,878.9266,0,12,0
Pd_0.13,-7.798204142768e+00,-1.004775485596e+01,-16.510000,Kumada,-5.86158,-0.277379,500.776,0.40741,1151.582,0,13,0
Pd_0.14,-8.189734058827e+00,-1.066726883673e+01,-23.330000,Kumada,-5.91385,-0.275382,500.776,0.33333,859.5266,0,14,0
Pd_0.15,-8.155049415668e+00,-1.071516597308e+01,-16.584275,Kumada,NAN,NAN,500.776,0.33333,820.1634,0,15,0
Pd_0.16,-9.400469162221e+00,-9.539446573821e+00,-11.270000,Negishi,-5.50988,-0.391931,584.937,0.33333,1243.246,0,16,0
Pd_0.17,-4.715956299593e+00,-1.383877803105e+01,-27.490000,Kumada,-6.06819,-0.241258,328.590,0.46154,345.5117,0,17,0
Pd_0.18,-6.443787175061e+00,-1.231320005971e+01,-21.900000,Kumada,-5.76849,-0.283744,412.751,0.36842,528.7487,0,18,0
Pd_0.19,-3.688285146618e+00,-1.436646077303e+01,-25.630000,Suzuki,-6.23506,-0.250503,334.553,0.57143,340.0533,0,19,0
Pd_0.1,-3.154401666858e+00,-1.567135211347e+01,-13.280000,Kumada,-7.5847,-0.021637,333.737,0.55556,66.48216,0,1,0
Pd_0.20,-5.528892992920e+00,-1.284011744319e+01,-26.170000,Kumada,-6.26283,-0.324870,394.605,0.44444,632.4017,0,20,0
Pd_0.21,-6.855818491360e+00,-1.157186421724e+01,-21.500000,Kumada,-6.03961,-0.287485,438.705,0.40909,749.8536,0,21,0
Pd_0.22,-7.680862093165e+00,-1.104915105215e+01,-18.220000,Kumada,-5.76849,-0.399333,484.817,0.36,749.8835,0,22,0
Pd_0.23,-7.957482000133e+00,-1.079558325292e+01,-16.018584,Kumada,NAN,NAN,512.871,0.37037,743.6177,0,23,0
Pd_0.24,-7.451979101638e+00,-1.116102892815e+01,-25.320000,Suzuki,-5.91766,-0.329474,464.743,0.375,819.6641,0,24,0
Pd_0.25,-7.714219577692e+00,-1.097995563516e+01,-21.630000,Kumada,-6.03498,-0.333615,472.722,0.36,839.8060,0,25,0
Pd_0.26,-7.935146432463e+00,-1.077767909510e+01,-23.000000,Kumada,-5.65198,-0.290547,488.721,0.34615,935.4468,0,26,0
Pd_0.27,-7.439922861742e+00,-1.105822537466e+01,-25.481497,Suzuki,NAN,NAN,472.722,0.4,841.4792,0,27,0
Pd_0.28,-3.564556537943e+00,-1.483630490168e+01,-14.340000,Kumada,-6.66135,-0.219221,344.501,0.57143,188.6775,0,28,0
Pd_0.29,-3.570988138175e+00,-1.483710366927e+01,-30.160000,Kumada,-6.17572,-0.241248,341.549,0.57143,200.4549,0,29,0
Pd_0.2,-3.439199440706e+00,-1.552595882670e+01,-23.180000,Kumada,-6.00314,-0.243281,272.482,0.55556,167.9844,0,2,0
Pd_0.30,-7.174623560573e+00,-1.165435626952e+01,-11.530000,Kumada,-5.67076,-0.333159,467.791,0.34783,701.6649,0,30,0
Pd_0.31,-5.454123545595e+00,-1.312990536042e+01,-19.480000,Kumada,-5.44537,-0.331277,412.672,0.42105,386.2808,0,31,0
Pd_0.32,-6.581518836543e-01,5.741190564058e+00,-27.940000,Kumada,-5.71241,-0.291974,292.536,0.5,154.4794,0,32,0
Pd_0.33,-1.021659907381e+00,5.744172276417e+00,-30.130000,Kumada,-5.73664,-0.240388,320.590,0.5,166.8943,0,33,0
Pd_0.34,-1.720260085160e+00,5.381384981275e+00,-29.110000,Kumada,-5.52867,-0.351804,348.644,0.4375,238.0122,0,34,0
Pd_0.35,-2.555281077657e+00,5.019793927296e+00,-24.330000,Suzuki,-5.51179,-0.353159,376.698,0.38889,330.7395,0,35,0
Pd_0.36,-2.831400962104e+00,5.817769923698e+00,-24.770000,Suzuki,-5.71268,-0.273019,428.773,0.5,542.0641,0,36,0
Pd_0.37,-4.888121981696e+00,5.594827589786e+00,-24.660000,Suzuki,-5.24366,-0.377031,500.839,0.46429,579.7043,0,37,0
Pd_0.38,-7.068589778074e-01,5.744129462168e+00,-22.550000,Kumada,-5.35826,-0.410298,293.544,0.5,180.1488,0,38,0
Pd_0.39,-1.086360008228e+00,5.740387975410e+00,-31.460000,Kumada,-5.60516,-0.281274,321.598,0.5,204.8182,0,39,0
Pd_0.3,-5.371577661996e+00,-1.327637774979e+01,-24.610000,Suzuki,-5.8605,-0.270168,356.644,0.4,436.9243,0,3,0
Pd_0.40,-1.906686498527e+00,5.403818197347e+00,-27.460000,Kumada,-5.47831,-0.348035,349.652,0.4375,308.3474,0,40,0
Pd_0.41,-5.145263275732e+00,5.377795102438e+00,-32.780000,Kumada,-5.4813,-0.239165,501.847,0.46429,715.2217,0,41,0
Pd_0.42,3.593324399654e-01,6.118462779365e+00,-29.020000,Kumada,-5.69145,-0.376493,333.373,0.58333,79.71909,0,42,0
Pd_0.43,-9.426695743814e-01,5.712368316568e+00,-26.250000,Kumada,-5.97728,-0.284040,361.427,0.5,162.3168,0,43,0
Pd_0.44,-1.053489825676e+00,5.742430801253e+00,-25.460000,Suzuki,-5.58148,-0.313105,320.590,0.5,184.9485,0,44,0
Pd_0.45,-3.843907420622e+00,6.099260340095e+00,-33.560000,Kumada,-5.81504,-0.264587,426.758,0.5,910.4304,0,45,0
Pd_0.46,-2.975238183196e+00,6.104398674047e+00,-40.950000,Negishi,-5.20065,-0.270818,445.740,0.5,418.5304,0,46,0
Pd_0.47,-3.916439023335e+00,5.664691403769e+00,-29.400000,Kumada,-5.26326,-0.271014,462.791,0.48,535.0175,0,47,0
Pd_0.48,-1.390825236539e+00,5.838638279831e+00,-28.750000,Kumada,-5.53901,-0.346787,355.615,0.52941,238.2122,0,48,0
Pd_0.49,-1.209743539953e+00,5.890354387476e+00,-27.930000,Kumada,-5.52785,-0.319029,354.607,0.52941,149.8853,0,49,0
Pd_0.4,-6.378777685516e+00,-1.285618546759e+01,-15.080000,Kumada,-5.82865,-0.298651,398.724,0.33333,470.3743,0,4,0
Pd_0.50,1.017197865718e+01,-6.165914895355e+00,-17.040000,Kumada,-5.66559,-0.273689,275.506,0.63636,89.01946,0,50,0
Pd_0.51,9.499763400118e+00,-6.277529768035e+00,-15.930000,Kumada,-5.72548,-0.240990,309.951,0.58333,96.80426,0,51,0
Pd_0.52,9.492479815019e+00,-6.272984064044e+00,-16.950000,Kumada,-5.81259,-0.266870,309.951,0.58333,100.8185,0,52,0
Pd_0.53,1.038460098003e+01,-5.867755827722e+00,-17.200000,Kumada,-5.80251,-0.272618,309.951,0.66667,93.39870,0,53,0
Pd_0.54,9.573416352664e+00,-6.342053375866e+00,-15.590000,Kumada,-5.70751,-0.254628,293.496,0.58333,94.22802,0,54,0
Pd_0.55,9.578994562726e+00,-6.339559943329e+00,-16.810000,Kumada,-5.79925,-0.266931,293.496,0.58333,91.18896,0,55,0
Pd_0.56,1.046659947847e+01,-5.888016764273e+00,-17.190000,Kumada,-5.78183,-0.274022,293.496,0.66667,90.69720,0,56,0
Pd_0.57,9.472735965805e+00,-6.251583523889e+00,-17.460000,Kumada,-5.66967,-0.281058,289.532,0.58333,117.4571,0,57,0
Pd_0.58,9.497184962805e+00,-6.269906214943e+00,-17.130000,Kumada,-5.61033,-0.276416,289.532,0.58333,103.6792,0,58,0
Pd_0.59,1.029875615253e+01,-5.867983487639e+00,-17.130000,Kumada,-5.59128,-0.276915,289.532,0.66667,143.7965,0,59,0
Pd_0.5,-4.046533708730e+00,-1.486077310560e+01,-20.050000,Kumada,-6.71797,-0.203252,320.479,0.5,237.6934,0,5,0
Pd_0.60,9.127961289845e+00,-6.377367159064e+00,-16.920000,Kumada,-5.8311,-0.255867,305.531,0.53846,135.1519,0,60,0
Pd_0.61,9.564313803707e+00,-6.073918063147e+00,-18.000000,Kumada,-5.64354,-0.274034,305.531,0.61538,147.7728,0,61,0
Pd_0.62,1.061500554457e+01,-5.723765033821e+00,-17.420000,Kumada,-5.54772,-0.279693,305.531,0.69231,106.5602,0,62,0
Pd_0.63,9.820495044470e+00,-5.909268137905e+00,-17.550000,Kumada,-5.34819,-0.286525,318.574,0.64286,105.1128,0,63,0
Pd_0.64,8.960454066441e+00,-6.246867523275e+00,-25.490000,Suzuki,-5.93672,-0.145701,303.559,0.53846,186.1027,0,64,0
Pd_0.65,9.026723642327e+00,-6.044387462494e+00,-18.790000,Kumada,-5.60788,-0.297379,317.586,0.57143,175.9475,0,65,0
Pd_0.66,9.395427946968e+00,-6.290454207172e+00,-14.190000,Kumada,-5.86485,-0.254797,329.476,0.57143,93.42192,0,66,0
Pd_0.67,1.083989314201e+01,-1.874120754866e+01,-16.590000,Kumada,-6.15748,-0.145287,263.471,0.6,72.39933,0,67,0
Pd_0.68,1.118109332942e+01,-1.850510372538e+01,-20.810000,Kumada,-6.10848,-0.069232,253.476,0.66667,115.3987,0,68,0
Pd_0.69,9.896762547921e+00,-6.876574437128e+00,-17.480000,Kumada,-5.66858,-0.254240,254.507,0.55556,125.4493,0,69,0
Pd_0.6,-4.819945484997e+00,-1.360876682082e+01,-22.020000,Kumada,-6.59874,-0.244637,362.560,0.46667,558.7418,0,6,0
Pd_0.70,8.928583024759e+00,-5.990241317169e+00,-18.450000,Kumada,-5.70833,-0.260854,316.578,0.57143,262.3222,0,70,0
Pd_0.71,2.092546388951e+01,1.129435651415e+01,-9.410000,Negishi,-7.35931,-0.021513,223.406,0.71429,29.00295,0,71,0
Pd_0.72,-5.470141148819e+00,-1.266470952852e+01,-23.877034,Kumada,NAN,NAN,396.624,0.47368,559.3077,0,72,0
Pd_0.73,-6.774351402921e+00,-1.181318314605e+01,-15.521217,Kumada,NAN,NAN,455.648,0.3913,599.7083,0,73,0
Pd_0.74,-4.244959447968e+00,-1.437199121173e+01,-24.192691,Kumada,NAN,NAN,314.563,0.5,276.4423,0,74,0
Pd_0.75,-4.648285943850e+00,-1.420294294919e+01,-23.279163,Kumada,NAN,NAN,333.522,0.46154,318.0401,0,75,0
Pd_0.76,-7.379550286265e+00,4.417641366137e+00,-37.234418,Kumada,NAN,NAN,583.993,0.36667,1167.197,0,76,0
Pd_0.77,-6.962970268614e+00,4.564028843187e+00,-42.462137,Negishi,NAN,NAN,585.001,0.37931,930.7463,0,77,0
Pd_0.78,1.013713704783e+00,6.398937168658e+00,-2.428695,Stille,NAN,NAN,263.451,0.6,50.60564,0,78,0
Pd_0.79,1.011685900777e+01,-6.603844407452e+00,-2.353287,Stille,NAN,NAN,265.467,0.6,76.15849,0,79,0
Pd_0.7,-7.171676710527e+00,-1.177709245504e+01,-27.600000,Kumada,-6.03008,-0.291721,434.757,0.33333,705.6980,0,7,0
Pd_0.80,1.091351960759e+01,-1.873587105522e+01,-10.242422,Negishi,NAN,NAN,264.459,0.6,72.85509,0,80,0
Pd_0.81,-7.495757242550e+00,-1.117278486604e+01,-18.597249,Kumada,NAN,NAN,475.682,0.36,819.7817,0,81,0
Pd_0.82,-5.208385961594e+00,-1.358051063464e+01,-19.287687,Kumada,NAN,NAN,359.608,0.4,351.5151,0,82,0
Pd_0.83,-5.784301145678e+00,-1.292273641613e+01,-23.454691,Kumada,NAN,NAN,404.641,0.38889,547.5444,0,83,0
Pd_0.84,-6.783107822558e+00,-1.122891579426e+01,-17.149845,Kumada,NAN,NAN,461.783,0.43478,932.5262,0,84,0
Pd_0.85,8.840294731778e+00,-5.986478592919e+00,-27.703403,Kumada,NAN,NAN,341.588,0.5625,196.6700,0,85,0
Pd_0.86,9.330778946145e+00,-5.838272351651e+00,-27.937312,Kumada,NAN,NAN,340.580,0.625,175.6750,0,86,0
Pd_0.87,9.571060541362e+00,-6.669195367726e+00,-24.612642,Suzuki,NAN,NAN,277.502,0.54545,120.8038,0,87,0
Pd_0.88,1.069891951517e+01,-5.750238141539e+00,-21.794163,Kumada,NAN,NAN,306.520,0.69231,101.2350,0,88,0
Pd_0.89,8.689216691956e+00,-6.494269488540e+00,-21.119893,Kumada,NAN,NAN,318.574,0.5,171.1243,0,89,0
Pd_0.8,-7.161299154468e+00,-1.156909552582e+01,-20.913848,Kumada,NAN,NAN,476.838,0.375,523.4543,0,8,0
Pd_0.90,8.211876851358e+00,-6.176594300353e+00,-8.408554,Negishi,NAN,NAN,367.602,0.5,184.9482,0,90,0
Pd_0.9,-7.404747936310e+00,-1.120680389599e+01,-22.880000,Kumada,-6.01702,-0.269365,458.695,0.375,806.2581,0,9,0
Pd_10.10,-2.149722238076e+01,-3.757082893034e+00,-34.630000,Kumada,-4.71584,-0.464888,813.173,0.29412,2819.221,10,10,0
Pd_10.11,-1.409282137783e+01,-7.452889306090e+00,-31.490000,Kumada,-5.03106,-0.427721,826.431,0.29167,1651.254,10,11,0
Pd_10.12,-1.347274140269e+01,-7.271845662974e+00,-34.430000,Kumada,-4.93742,-0.472500,777.066,0.29167,1826.219,10,12,0
Pd_10.13,-1.356009740466e+01,-7.447730639016e+00,-28.410000,Kumada,-4.69569,-0.451893,765.176,0.29167,1768.265,10,13,0
Pd_10.14,-1.439524125628e+01,-6.532335594327e+00,-29.110000,Kumada,-4.71965,-0.424867,765.176,0.27083,2080.722,10,14,0
Pd_10.15,-1.428805128574e+01,-6.691738227711e+00,-25.790000,Suzuki,-4.6437,-0.424861,765.176,0.27083,2039.033,10,15,0
Pd_10.16,-2.178822964147e+01,-5.414420138125e+00,-24.440000,Suzuki,-4.32113,-0.385077,849.338,0.25926,2407.033,10,16,0
Pd_10.17,-1.009270431964e+01,-5.820669748589e+00,-39.700000,Negishi,-4.59171,-0.428342,592.991,0.38235,1801.093,10,17,0
Pd_10.18,-1.243968886796e+01,-6.200238115122e+00,-32.600000,Kumada,-4.32956,-0.458373,677.152,0.325,2004.211,10,18,0
Pd_10.19,-1.045435082963e+01,-5.140530503482e+00,-37.880000,Kumada,-4.72945,-0.378522,598.954,0.37143,1998.720,10,19,0
Pd_10.20,-1.130553702309e+01,-6.980519795121e+00,-32.040000,Kumada,-5.06345,-0.400216,659.006,0.33333,1724.849,10,20,0
Pd_10.21,-1.261007042900e+01,-7.395805780601e+00,-35.360000,Kumada,-4.68807,-0.456191,703.105,0.30233,1810.157,10,21,0
Pd_10.22,-1.477260496752e+01,-5.518100771253e+00,-29.890000,Kumada,-4.27131,-0.389030,749.218,0.28261,2313.904,10,22,0
Pd_10.23,-1.403148731820e+01,-7.021191602026e+00,-17.020000,Kumada,-4.1235,-0.564551,777.272,0.29167,1929.189,10,23,0
Pd_10.24,-1.348320956134e+01,-6.859970555195e+00,-35.140000,Kumada,-4.61131,-0.457641,729.143,0.28889,1980.531,10,24,0
Pd_10.25,-1.298846471381e+01,-7.609306354615e+00,-33.290000,Kumada,-4.69542,-0.418169,737.123,0.28261,1758.410,10,25,0
Pd_10.26,-1.375369573834e+01,-6.936667273906e+00,-34.520000,Kumada,-4.72618,-0.492594,753.122,0.2766,1966.295,10,26,0
Pd_10.27,-1.464088764205e+01,-5.600129666024e+00,-34.000000,Kumada,-4.82962,-0.430685,737.123,0.30435,2271.723,10,27,0
Pd_10.28,-1.037811773168e+01,-4.929810673706e+00,-30.600000,Kumada,-4.98124,-0.316711,608.902,0.37143,2034.166,10,28,0
Pd_10.29,-1.037871988435e+01,-4.837866192248e+00,-42.540000,Negishi,-4.76864,-0.378153,605.950,0.37143,2063.555,10,29,0
Pd_10.30,-1.444669162133e+01,-5.411462095912e+00,-34.610000,Kumada,-4.47601,-0.515863,732.192,0.29545,2241.952,10,30,0
Pd_10.31,-1.164176153873e+01,-6.091858287528e+00,-32.770000,Kumada,-4.53509,-0.432547,677.072,0.325,1915.906,10,31,0
Pd_10.32,-1.032228743945e+01,6.709431876356e+00,-37.700000,Kumada,-4.07096,-0.531421,556.937,0.39394,1852.080,10,32,0
Pd_10.33,-9.243470065883e+00,4.944873133600e+00,-40.390000,Negishi,-4.11751,-0.437665,584.991,0.37143,1645.782,10,33,0
Pd_10.34,-1.001151294303e+01,4.776119144772e+00,-36.010000,Kumada,-4.03285,-0.516398,613.045,0.35135,1789.583,10,34,0
Pd_10.35,-1.025993670074e+01,4.183321533517e+00,-32.040000,Kumada,-3.97786,-0.545852,641.098,0.33333,1804.785,10,35,0
Pd_10.36,-1.048813267927e+01,3.639996116104e+00,-42.100000,Negishi,-4.09682,-0.492117,693.174,0.32558,1731.343,10,36,0
Pd_10.37,-1.299965974874e+01,1.818512340198e+00,-41.630000,Negishi,-4.11179,-0.366128,765.240,0.30612,2114.354,10,37,0
Pd_10.38,-9.780813061141e+00,6.162370040225e+00,-43.200000,Stille,-4.05762,-0.510244,557.945,0.39394,1742.860,10,38,0
Pd_10.39,-9.414373661604e+00,5.082070039767e+00,-40.560000,Negishi,-4.0353,-0.512685,585.999,0.37143,1687.534,10,39,0
Pd_10.40,-9.617373201022e+00,4.426681329744e+00,-38.910000,Negishi,-4.07368,-0.510071,614.053,0.35135,1681.573,10,40,0
Pd_10.41,-1.777526982141e+01,1.236022383498e+00,-42.400000,Negishi,-4.07668,-0.376666,766.248,0.30612,2465.521,10,41,0
Pd_10.42,-1.016345427689e+01,6.526527957221e+00,-44.950000,Stille,-4.3459,-0.500292,597.774,0.39394,1785.119,10,42,0
Pd_10.43,-9.820301546399e+00,5.482500283858e+00,-39.600000,Negishi,-4.38618,-0.459466,625.827,0.37143,1718.364,10,43,0
Pd_10.44,-9.959500577250e+00,5.673049155981e+00,-38.850000,Negishi,-3.99365,-0.554970,584.991,0.37143,1801.808,10,44,0
Pd_10.45,-1.238500944931e+01,1.421832748214e+00,-39.780000,Negishi,-4.25879,-0.408808,691.158,0.32558,2142.781,10,45,0
Pd_10.46,-1.184347034624e+01,2.590773396480e+00,-34.420000,Kumada,-4.33909,-0.409261,711.149,0.33333,1934.889,10,46,0
Pd_10.47,-1.277796922526e+01,1.452568870295e+00,-40.340000,Negishi,-4.26342,-0.407870,725.175,0.32609,2202.273,10,47,0
Pd_10.48,-1.198137997354e+01,6.652573337025e+00,-41.350000,Negishi,-4.10662,-0.503553,620.016,0.36842,2067.368,10,48,0
Pd_10.49,-1.104909092783e+01,5.675797770161e+00,-40.580000,Negishi,-4.11669,-0.454464,619.008,0.36842,1948.217,10,49,0
Pd_10.50,1.240272614114e+00,-4.998628337038e+00,-33.530000,Kumada,-4.19455,-0.426558,539.906,0.40625,1631.361,10,50,0
Pd_10.51,-7.293641555490e-01,-4.194602803682e+00,-36.590000,Kumada,-4.27975,-0.381035,574.351,0.39394,1980.843,10,51,0
Pd_10.52,3.567143616452e-01,-4.745299756593e+00,-33.740000,Kumada,-4.3459,-0.417501,574.351,0.39394,1722.984,10,52,0
Pd_10.53,-7.362464831530e-01,-4.190399881940e+00,-33.590000,Kumada,-4.32929,-0.423952,574.351,0.39394,1985.660,10,53,0
Pd_10.54,-4.192682026227e-01,-4.331118668269e+00,-38.660000,Kumada,-4.26233,-0.376700,557.896,0.39394,1858.457,10,54,0
Pd_10.55,-5.849194700735e-01,-4.248605683389e+00,-33.820000,Kumada,-4.31323,-0.419772,557.896,0.39394,1914.493,10,55,0
Pd_10.56,-6.978354611564e-01,-4.185233258416e+00,-33.910000,Kumada,-4.289,-0.428620,557.896,0.39394,1977.568,10,56,0
Pd_10.57,2.265326288448e-01,-4.688736900552e+00,-36.920000,Kumada,-4.18992,-0.407787,553.933,0.39394,1754.301,10,57,0
Pd_10.58,-4.736556817624e-01,-4.342722161788e+00,-33.930000,Kumada,-4.15616,-0.432227,553.933,0.39394,1871.823,10,58,0
Pd_10.59,-5.390902975689e-01,-4.307643589786e+00,-36.590000,Kumada,-4.11805,-0.423860,553.933,0.39394,1894.015,10,59,0
Pd_10.60,-3.187485376280e-01,-4.516722168490e+00,-39.070000,Negishi,-4.82064,-0.324567,569.932,0.38235,1816.926,10,60,0
Pd_10.61,-4.888308015811e-01,-4.416058487689e+00,-41.810000,Negishi,-4.32221,-0.334710,569.932,0.38235,1861.405,10,61,0
Pd_10.62,-1.173739413142e+00,-3.912755214512e+00,-38.160000,Kumada,-4.07586,-0.419874,569.932,0.41176,2183.543,10,62,0
Pd_10.63,-1.691264557778e+00,-3.695906370789e+00,-35.020000,Kumada,-3.93458,-0.442363,582.975,0.4,2301.798,10,63,0
Pd_10.64,-5.418204194047e-01,-4.434482203817e+00,-37.680000,Kumada,-4.20135,-0.413069,567.960,0.38235,1874.965,10,64,0
Pd_10.65,-9.958227332930e-01,-4.230391293447e+00,-37.950000,Kumada,-4.15154,-0.414617,581.987,0.37143,2085.354,10,65,0
Pd_10.66,-7.475824012929e-01,-4.275605944019e+00,-33.820000,Kumada,-4.44852,-0.348628,593.877,0.37143,1946.106,10,66,0
Pd_10.67,1.432557144383e+00,-2.174592476353e+01,-40.730000,Negishi,-4.51467,-0.266945,527.871,0.5,1696.694,10,67,0
Pd_10.68,1.285575478561e+00,-2.177514736156e+01,-36.770000,Kumada,-4.30996,-0.351603,517.876,0.43333,1746.640,10,68,0
Pd_10.69,2.011731228081e+00,-4.838766206374e+00,-33.870000,Kumada,-4.16134,-0.430826,518.908,0.43333,1500.314,10,69,0
Pd_10.70,-1.314460774004e-01,-4.888552241817e+00,-38.600000,Kumada,-4.20843,-0.380655,580.979,0.37143,1742.255,10,70,0
Pd_10.71,-6.832991922463e+00,6.993440226522e+00,-19.570000,Kumada,-5.31661,-0.273997,487.807,0.46429,1363.886,10,71,0
Pd_10.72,-1.204301965864e+01,-6.573166807868e+00,-35.944052,Kumada,NAN,NAN,661.025,0.325,1901.445,10,72,0
Pd_10.73,-1.287341918402e+01,-6.579758564317e+00,-26.569234,Kumada,NAN,NAN,720.049,0.31818,1960.386,10,73,0
Pd_10.74,-9.758403721992e+00,-5.848781068320e+00,-36.496646,Kumada,NAN,NAN,578.964,0.39394,1762.227,10,74,0
Pd_10.75,-9.493931187342e+00,-6.359065240412e+00,-39.007949,Negishi,NAN,NAN,597.923,0.38235,1643.203,10,75,0
Pd_10.76,-1.921991070293e+01,1.280171796030e+00,-39.223910,Negishi,NAN,NAN,849.401,0.25926,2358.815,10,76,0
Pd_10.77,-1.933923438403e+01,1.854627929745e+00,-34.674365,Kumada,NAN,NAN,849.401,0.36667,2405.662,10,77,0
Pd_10.78,-1.073882976812e+01,7.923147862689e+00,-22.774727,Kumada,NAN,NAN,527.852,0.41935,1865.868,10,78,0
Pd_10.79,6.017193016854e-01,-4.545080620378e+00,-26.372630,Kumada,NAN,NAN,529.867,0.41935,1725.081,10,79,0
Pd_10.80,1.430849377885e+00,-2.174352160355e+01,-33.706683,Kumada,NAN,NAN,528.860,0.5,1703.820,10,80,0
Pd_10.81,-1.291523621755e+01,-7.537943731273e+00,-34.543651,Kumada,NAN,NAN,740.083,0.28261,1782.294,10,81,0
Pd_10.82,-1.029224976432e+01,-6.213525134599e+00,-36.489789,Kumada,NAN,NAN,624.009,0.36111,1736.317,10,82,0
Pd_10.83,-1.111709615155e+01,-7.270996337340e+00,-38.718100,Negishi,NAN,NAN,669.041,0.33333,1636.607,10,83,0
Pd_10.84,-1.257710717768e+01,-7.389916295874e+00,-30.459750,Kumada,NAN,NAN,726.184,0.34091,1731.351,10,84,0
Pd_10.85,-6.137859035064e-01,-4.777489783682e+00,-44.867236,Stille,NAN,NAN,605.989,0.37838,1822.118,10,85,0
Pd_10.86,-1.068846287227e+00,-4.217228030998e+00,-43.838394,Stille,NAN,NAN,604.981,0.40541,2054.686,10,86,0
Pd_10.87,1.439779982100e-01,-4.458671222648e+00,-41.599196,Negishi,NAN,NAN,541.902,0.40625,1780.867,10,87,0
Pd_10.88,-9.759500188616e-01,-3.999425195765e+00,-41.719398,Negishi,NAN,NAN,570.920,0.41176,2115.456,10,88,0
Pd_10.89,-6.031103395915e-01,-4.491623820317e+00,-38.975600,Negishi,NAN,NAN,582.975,0.37143,1879.793,10,89,0
Pd_10.90,-9.051509634845e-01,-5.128203430109e+00,-22.711853,Kumada,NAN,NAN,632.003,0.35897,1841.768,10,90,0
Pd_1.10,-8.217816708595e+00,-5.586957697650e+00,-17.806829,Kumada,NAN,NAN,598.138,0.43333,1642.518,1,10,0
Pd_11.11,-1.411479517526e+01,-8.716004841384e+00,-31.360000,Kumada,-5.54663,-0.370351,839.688,0.28889,1453.423,11,11,0
Pd_11.12,-1.285367738916e+01,-8.159549192911e+00,-34.120000,Kumada,-5.42631,-0.446733,790.323,0.28889,1507.540,11,12,0
Pd_11.13,-1.262894097830e+01,-8.271129349172e+00,-29.150000,Kumada,-5.17288,-0.401784,778.434,0.28889,1457.565,11,13,0
Pd_11.14,-1.251931564279e+01,-8.630106341435e+00,-32.430000,Kumada,-5.25101,-0.395315,778.434,0.26667,1276.359,11,14,0
Pd_11.15,-1.251847186640e+01,-8.682340203079e+00,-27.980000,Kumada,-5.16962,-0.433405,778.434,0.26667,1247.957,11,15,0
Pd_11.16,-1.563485616358e+01,-6.798808965325e+00,-24.320000,Suzuki,-4.83996,-0.448969,862.595,0.2549,1938.282,11,16,0
Pd_11.17,-9.154522580295e+00,-9.641897787263e+00,-37.620000,Kumada,-5.11,-0.406068,606.248,0.35484,1135.078,11,17,0
Pd_11.18,-1.098433379922e+01,-8.833282890573e+00,-30.860000,Kumada,-4.85548,-0.468100,690.409,0.2973,1275.310,11,18,0
Pd_11.19,-9.167603870895e+00,-8.845892348730e+00,-37.840000,Kumada,-5.29837,-0.346980,612.212,0.375,1385.655,11,19,0
Pd_1.11,-7.400538990105e+00,-9.311066243240e+00,-18.630000,Kumada,-6.53368,-0.118301,611.395,0.40741,1009.551,1,11,0
Pd_11.20,-1.020640595274e+01,-8.924675072531e+00,-30.440000,Kumada,-5.52132,-0.324940,672.263,0.33333,1261.173,11,20,0
Pd_11.21,-1.143050252195e+01,-8.768457909220e+00,-32.920000,Kumada,-5.15056,-0.426797,716.363,0.3,1234.972,11,21,0
Pd_11.22,-1.245333773086e+01,-8.179374136177e+00,-29.020000,Kumada,-4.9954,-0.431993,762.475,0.27907,1518.916,11,22,0
Pd_11.23,-1.282478751565e+01,-8.222515711753e+00,-15.570000,Kumada,-4.62982,-0.377747,790.529,0.28889,1472.768,11,23,0
Pd_11.24,-1.218752245802e+01,-8.203451756224e+00,-25.770000,Suzuki,-4.98097,-0.427562,742.401,0.28571,1519.079,11,24,0
Pd_11.25,-1.201313481551e+01,-8.856295239445e+00,-34.150000,Kumada,-5.19657,-0.434023,750.380,0.27907,1138.774,11,25,0
Pd_11.26,-1.222597634207e+01,-8.732190844285e+00,-34.140000,Kumada,-4.91292,-0.418052,766.379,0.27273,1230.666,11,26,0
Pd_11.27,-1.200936199459e+01,-8.803968345777e+00,-33.990000,Kumada,-5.17125,-0.407730,750.380,0.30233,1177.967,11,27,0
Pd_11.28,-8.842987052697e+00,-9.271021430418e+00,-32.040000,Kumada,-5.496,-0.289231,622.160,0.375,1209.331,11,28,0
Pd_11.29,-8.779437032865e+00,-8.702353221580e+00,-43.070000,Stille,-5.33512,-0.353803,619.207,0.375,1381.067,11,29,0
Pd_1.12,-7.535510398537e+00,-1.051146377668e+01,-13.190000,Kumada,-6.44358,-0.123018,562.030,0.40741,871.5221,1,12,0
