Name,X [ ],Y [ ],DeltaE [kcal/mol],Reaction,HOMO Energy [eV],Mulliken Charge [a.u],Molecular Weight in [a.u.],Molecular Shape [ ],Molecular Volume [A^3],L1,L2,bond type
Au_46.70,7.639169457611e+00,1.017126373301e+01,4.785270,Hiyama,-9.35246,0.127467,568.496,0.44828,875.8379,46,70,4
Au_46.71,-1.464578403592e+00,1.692415859219e+01,7.870000,None,-9.739,0.263940,475.324,0.45455,699.3225,46,71,4
Au_46.72,-6.935571791266e+00,3.315334332955e+00,-3.814285,Stille,NAN,NAN,648.542,0.38235,1113.668,46,72,4
Au_46.73,-8.845561812104e+00,3.043473452551e+00,-4.626200,Stille,NAN,NAN,707.566,0.36842,1537.261,46,73,4
Au_46.74,-5.170160762648e+00,3.881714400609e+00,-0.475685,Stille,NAN,NAN,566.481,0.40741,797.2322,46,74,4
Au_46.75,-5.540029344809e+00,3.776083541356e+00,-4.315214,Stille,NAN,NAN,585.440,0.39286,1135.710,46,75,4
Au_46.76,-1.784422507910e+01,1.511335563318e+01,3.745069,Hiyama,NAN,NAN,835.911,0.29167,1783.200,46,76,4
Au_46.77,-1.664652982903e+01,1.682465076343e+01,0.000000,Stille,NAN,NAN,837.927,0.37931,1480.795,46,77,4
Au_46.78,-2.372113297865e+00,1.675666018676e+01,14.527889,None,NAN,NAN,518.393,0.44,758.8735,46,78,4
Au_46.79,8.645273701619e+00,9.855757662727e+00,16.424379,None,NAN,NAN,516.377,0.44,610.0677,46,79,4
Au_4.67,8.011807281099e+00,-2.102003567241e+01,20.463503,None,NAN,NAN,468.373,0.35714,540.1827,4,67,4
Au_46.80,9.943131719422e+00,2.113652829702e+01,8.230570,None,NAN,NAN,519.401,0.5,743.7084,46,80,4
Au_46.81,-9.072516732692e+00,2.648740765100e+00,-0.667648,Stille,NAN,NAN,728.608,0.325,1417.020,46,81,4
Au_46.82,-5.937026404664e+00,3.543737588487e+00,5.730714,None,NAN,NAN,611.526,0.36667,1042.764,46,82,4
